PT	AU	BA	CA	GP	RI	OI	BE	Z2	AU	AA	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	VN	VH	DI	D2	L1	L2	L3	EA	SU	DT	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	G1	NR	CR	LA	AS	AC	CG	DG	C1	C3	EC	DE	DA	UT	PM	
J	Frank, SA				; Frank, Steven/C-3301-2008	Frank, Steven/0000-0001-7348-7794; 					Multiplicity of infection and the evolution of hybrid incompatibility in segmented viruses								HEREDITY				87				522	529				10.1046/j.1365-2540.2001.00911.x							Article	NOV 2001	2001	Some viral genomes are divided into segments. When multiple viruses infect a single cell, progeny form by reassorted mixtures of genomic segments. Hybrid incompatibilities arise when a progeny virus has incompatible segments from different parental viruses. Hybrid incompatibility has been observed in influenza and in the multiparticle plant virus Dianthovirus. Hybrid incompatibility provides an opportunity to study rates of viral evolution, divergence and speciation, and the extent of epistatic interactions among, components of the viral genome. This paper presents mathematical and computer simulation models to study hybrid incompatibility between diverging strains. The models identify multiplicity of infection as a key factor. When many viral particles infect each host cell, the effective ploidy of the genetic system is high. High ploidy dilutes the contribution of each locus to the phenotype, weakening the selective intensity on each locus. Weaker selection on variant alleles allows the population to maintain greater genetic diversity and to be more easily perturbed by stochastic fluctuations. Greater diversity and stochastic fluctuations explore more widely the space of epistatic interactions, causing more frequent shifts among favoured combinations of alleles. Variable ploidy of viral genetics differs from standard Mendelian genetics.									31	0	0	0	22	0	32			0018-067X											Univ Calif Irvine, Dept Ecol & Evolut Biol, Irvine, CA 92697 USA				2001-11-01	WOS:000173197700002	11869342	
J	Chen, Yingxin; Liu, Xin; Tadikamalla, Pandu R.; Qu, Mingming; Wang, Yiting					Wang, Yiting/0000-0001-7751-0592; LIU, XIN/0000-0002-6602-3163; qu, mingming/0000-0003-4896-3888					Evolutionary game analysis for multi-level collaborative governance under public crisis in China: From a value perception perspective								RISK ANALYSIS				44	3			582	611				10.1111/risa.14190					JUL 2023		Article	MAR 2024	2024	In a risk society, the survival and development of humans are facing threats of complex and severe public crisis events. Public participation in collaborative governance (CG) of public crisis events is increasingly recognized as an important direction for the reform of the current and future emergency management system. Previous studies of CG have mainly focused on the macro level and ignored to address micro-level discussions of the behavioral strategy evolution of stakeholders. From a fresh value perception perspective, this study constructs an evolutionary game model to clarify the evolution mechanism of multi-level emergency CG. First, the value perception model is built based on Prospect Theory and Mental Accounting to optimize the traditional game matrix. Second, the evolutionary stability is analyzed to solve the system evolution law. Finally, numerical simulation is conducted in the case of Heilongjiang province, a main region of food and energy supply in China. Results showed that (1) the CG game system has a complex evolutionary path; (2) the behavior of game players is affected by perceived incomes and perceived costs; (3) compared with the reference value and the risk aversion coefficient of income accounts, game players are more sensitive to that of cost accounts; (4) enhancing the perceived value of public psychological satisfaction and government reputation is helpful for the long-term construction of CG. Overall, this study aims to highlight the potential utility of value perception in promoting effective implementations of CG and to provide new insights for the development of CG in China and other countries.									9	0	0	0	1	0	9			0272-4332	1539-6924										Harbin Engn Univ, Sch Econ & Management, Harbin 150001, Peoples R ChinaUniv Pittsburgh, Joseph M Katz Grad Sch Business, Pittsburgh, PA USAChongqing Univ, Sch Management Sci & Real Estate, Chongqing, Peoples R China				2023-07-30	WOS:001029414500001	37455611	
J	Jian, Jinhua; Liu, Pingkuo; Hou, Jianchao										The spatial diffusion of "multi-station integration" and sustainable development: From the perspective of eight economic zones in China								ENGINEERING REPORTS				4	9					e12498			10.1002/eng2.12498					FEB 2022		Article	SEP 2022	2022	China's power system driven by the ubiquitous power internet of things, a new operation mode-"multi-station integration" (MSI) has emerged. The novel business model can improve the energy utilization efficiency and promote the cross-border business integration. In some earlier studies, mainly focused on conceptual analysis of application scenarios and operation modes of MSI. However, quantitative analysis that measure MSI popularize remain under development. This article highlights the recent advance achievements in MSI of digital power grid regarding transformation of Chinese eight economic zones. From the perspective of spatial heterogeneity, the gravity model provides a framework for describing the spatial diffusion of MSI mode relative to eight economic zones (EEZ) in China. In addition, compared to conventional gravity model, this study improved four aspects of the basic spatial gravity model - diffusion capacity, absorptive capacity, the gravitation coefficient, and economic distance. It is found that the spatial diffusion of MSI is subjected to eight economic zones interaction while the spatial heterogeneity is inevitable. Thus, the resulting represents a radial decline, with the three coastal economic zones as the center, gradually decreasing to the inland and western regions, especially for those coastal economic regions with large diffusion impacts. Meanwhile, we also discuss the advantages, impacts, and limitations of MSI spatial diffusion as valuable references for future development direction of MSI mode. Ultimately, some of future development recommendations for MSI emerging field is put forward.									0	0	0	0	0	0	0				2577-8196										Shanghai Univ Elect Power, Coll Econ & Management, Shanghai 200090, Peoples R China				2022-02-14	WOS:000751681400001		
J	Guaman-Quintanilla, Sharon; Everaert, Patricia; Chiluiza, Katherine; Valcke, Martin				; Chiluiza, Katherine/AFQ-9394-2022; Everaert, Patricia/E-2230-2017; Valcke, Martin/H-6693-2012	Guaman-Quintanilla, Sharon/0000-0001-8663-5303; Everaert, Patricia/0000-0003-1976-3836; Chiluiza, Katherine/0000-0001-5992-6236; Valcke, Martin/0000-0001-9544-4197					Impact of design thinking in higher education: a multi-actor perspective on problem solving and creativity								INTERNATIONAL JOURNAL OF TECHNOLOGY AND DESIGN EDUCATION				33	1			217	240				10.1007/s10798-021-09724-z					JAN 2022		Article	MAR 2023	2023	This study investigates the effects of using design thinking on students' problem solving and creativity skills, applying a constructivist learning theory. A course where students use design thinking for analyzing real problems and proposing a solution, was evaluated. The study involved 910 novice university students from different disciplines who worked in teams throughout the semester. Data were collected at three times during the semester, i.e. at the beginning (t0), in the middle (t1) and at the end (t2), after solving a short case study. Each time the problem solving and creativity skill of each student was rated by three different actors, i.e. the students themselves (self-evaluation), one peer and one teacher (facilitator). The objective of this study is to investigate whether the problem solving skills and creativity skills improved along the course, as rated by the three actors. A repeated measures ANOVA was used for the data analysis of this within-subjects design. Results show a significant improvement on students' problem solving and creativity skills, according to the three raters. Effect sizes were also calculated; in all cases the effect sizes from t0 to t1 were larger than t1 to t2. The multi-actor perspective of this study, the adoption of reliable and valid measures and the large sample size provide robust evidence that supports the implementation of design thinking in higher education curriculum for promoting key skills such as problem solving and creativity, demanded by labor markets. Finally, a discussion that puts forward an agenda for future research is presented.									49	0	0	0	1	0	51			0957-7572	1573-1804										Univ Ghent, Ghent, BelgiumEscuela Super Politecn Litoral, I3lab Entrepreneurship & Innovat Ctr, Km 30-5 Via Perimetral, Guayaquil, EcuadorUniv Ghent, Dept Accounting, Corp Finance & Taxat, Ghent, BelgiumEscuela Super Politecn Litoral, Ctr Informat Technol, Guayaquil, EcuadorUniv Ghent, Dept Educ Sci, Ghent, Belgium				2022-01-11	WOS:000739248600001		
B	Emanet, Fatma Y.										Decoding Visual Stimuli and Visual Imagery Information from EEG Signals Utilizing Multi-Perspective 3D CNN Based Hierarchical Deep-Fusion Learning Network																												Dissertation/Thesis	Jan 01 2023	2023										0	0	0	0	0	0	0					9798379430214									Southeastern Louisiana University, Interdisciplinary Science and Technology: College of Science and Technology, Louisiana, United States	Southeastern Louisiana University				PQDT:82885078		
J	Lu, Ruizhe; Shang, Junpeng; Wu, Jun; Wang, Yihe; Ma, Dongfang				Lu, Ruizhe/JPK-2456-2023; Ma, Dongfang/AAD-1826-2021	Shang, Junpeng/0009-0003-2689-8891; Ma, Dongfang/0000-0002-9334-1570					Panoramic Sea-Ice Map Construction for Polar Navigation Based on Multi-Perspective Images Projection and Camera Poses Rectification								IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS				26	3			3417	3430				10.1109/TITS.2024.3523287					JAN 2025		Article	MAR 2025	2025	Panoramic map construction of polar sea ice can provide significant assistance for intelligent navigation and routing planning in polar regions. Traditional methods for panoramic observation and map generation suffer from issues such as limited parallax tolerance, poor stitching robustness, and low mapping accuracy. In this paper, these problems are addressed by a proposed online panoramic method based on multi-perspective image projection and camera pose rectification. The proposed method incorporates a modified inverse projection module that dynamically adapts to the ship's attitude, thereby stably restoring the sea-ice images into bird's-eye view (BEV) in real-time. In order to resolve the challenging sea-ice feature alignment under significant parallax, a planar feature registration method is proposed which robustly aligns the features between the projected images. Moreover, a camera pose rectification module is specifically designed for planar projection tasks, which virtually adjusts the camera's extrinsic parameters for obtaining more precise and high-quality panoramic sea-ice maps. Finally, online construction of global sea-ice field maps is achieved by fusing the local maps during navigation. Extensive qualitative and quantitative experiments demonstrate that the proposed method outperforms other panoramic methods in terms of map accuracy and stitching quality. Additionally, the proposed method is more suitable for downstream tasks, including polar simultaneous localization and mapping (SLAM) and path planning.									0	0	0	0	0	0	0			1524-9050	1558-0016										Zhejiang Univ, Inst Marine Sensing & Networking, Zhoushan 316021, Zhejiang, Peoples R ChinaMarine Design & Res Inst China, Shanghai 200011, Peoples R ChinaZhejiang Univ, Ocean Acad, Hangzhou 310058, Peoples R ChinaPolar Res Inst China, Technol Innovat Ctr Polar, Shanghai 201209, Peoples R ChinaZhejiang Univ, Key Lab Ocean Observat Imaging Testbed, Zhoushan 316021, Zhejiang, Peoples R China				2025-01-19	WOS:001395139300001		
J	Lai, Kalin Guanlun; Huang, Hsu-Chun; Lin, Shang-Yi; Lin, Wei-Ting; Lin, Kawuu Weicheng										Analyzing the forecast of tennis ball landing Points: An Interdisciplinary study of Virtual-Reality integration and Multi-Camera perspectives								EXPERT SYSTEMS WITH APPLICATIONS				284						127903			10.1016/j.eswa.2025.127903					MAY 2025		Article	JUL 25 2025	2025	Tennis virtual-reality integration represents an emerging and promising approach that combines augmented reality (AR) and mixed reality (MR) technologies to assess the flight and landing point of forecasted tennis balls across different playing fields. In this study, we utilized Multi-Camera Perspectives to analyze the forecast trajectory from both a real-world Outdoor Field and a simulated Virtual Field. Our comprehensive analysis of the results unveiled substantial distinctions in the X-axis error between the outdoor field and the virtual field. Delving deeper into the data, we conducted a meticulous decomposition of Xaxis and Y-axis errors, revealing a remarkable disparity in the X-axis error for the outdoor field when compared to all other data. Our findings unequivocally demonstrate that the forecast accuracy in the outdoor field is susceptible to a myriad of disturbing factors, resulting in the pronounced X-axis error divergence. Specifically, the influence of the Magnus Effect was identified as a significant contributor to this phenomenon. Collaborative cross-disciplinary applications in sports. The implications of this study are expected to provide invaluable insights for researchers and practitioners working in the realm of sports analytics and virtual-reality applications, signifying pivotal achievements in innovative sports technology.									1	0	0	0	0	0	1			0957-4174	1873-6793										Natl Kaohsiung Univ Sci & Technol, Dept Comp Sci & Informat Engn, Kaohsiung, TaiwanNatl Kaohsiung Univ Sci & Technol, Dept Mech Engn, Kaohsiung, TaiwanNatl Kaohsiung Univ Sci & Technol, Phys Educ Off, Kaohsiung, Taiwan				2025-05-23	WOS:001490732700001		
J	WAKE, GC; HOOD, MJ										MULTIPLICITY OF SOLUTIONS OF A QUASI-LINEAR ELLIPTIC EQUATION IN SPHERICAL DOMAINS								MATHEMATICAL AND COMPUTER MODELLING				18	10			157	162				10.1016/0895-7177(93)90225-N							Article	NOV 1993	1993	The quasilinear equation, which arises in combustion theory in the investigation of the steady-state energy balance DELTAu + lambdae(u) = 0, x is-an-element-of OMEGA subset-or-equal-to R(n) partial derivative u/partial derivative n + Bi.u = 0, x is-an-element-of partial derivative OMEGA has an intriguing solution set in spherical domains where it becomes d2u/dr2 + n-1/p du/dr + lambdae(u) = 0, 0 < r < 1 u'(1) + Bi.u(1) = 0, u'(0) = 0.This can be shown to have an infinite number of finite positive solutions when lambda = lambda(infinity) = 2(n - 2)e-2/Bi, when 2 < n < 10.Phase plane techniques are used. All but the minimal solutions are unstable as solutions of the time-dependent version of the above equations.The extension of these methods to spherically annular domains 0 < alpha < r < 1, with an inner boundary condition u'(alpha) = A(less-than-or-equal-to 0), shows strikingly different behaviour. First, the infinite multiplicity disappears and is approached asymptotically as alpha --> 0+. Second, the uniqueness of the solution for small lambda also disappears. This last fact has implications for the basis of stability of the minimal steady-state. The case A not-equal 0 is still under investigation. Collaborators in this work are P. Kelly (Massey University) and S. K. Scott (University of Leads).									5	0	0	0	0	0	5			0895-7177											UNIV WESTERN AUSTRALIA,DEPT MATH,NEDLANDS,WA 6009,AUSTRALIA				1993-11-01	WOS:A1993MP67600016		
J	Schnell, Patrick M.; Mueller, Peter; Tang, Qi; Carlin, Bradley P.				Tang, Qi/KSL-8607-2024						Multiplicity-adjusted semiparametric benefiting subgroup identification in clinical trials								CLINICAL TRIALS				15	1			75	86				10.1177/1740774517729167							Article	FEB 2018	2018	Background A recent focus in the health sciences has been the development of personalized medicine, which includes determining the population for which a given treatment is effective. Due to limited data, identifying the true benefiting population is a challenging task. To tackle this difficulty, the credible subgroups approach provides a pair of bounding subgroups for the true benefiting subgroup, constructed so that one is contained by the benefiting subgroup while the other contains the benefiting subgroup with high probability. However, the method has so far only been developed for parametric linear models.Methods In this article, we develop the details required to follow the credible subgroups approach in more realistic settings by considering nonlinear and semiparametric regression models, supported for regulatory science by conditional power simulations. We also present an improved multiple testing approach using a step-down procedure. We evaluate our approach via simulations and apply it to data from four trials of Alzheimer's disease treatments carried out by AbbVie.Results Semiparametric modeling yields credible subgroups that are more robust to violations of linear treatment effect assumptions, and careful choice of the population of interest as well as the step-down multiple testing procedure result in a higher rate of detection of benefiting types of patients. The approach allows us to identify types of patients that benefit from treatment in the Alzheimer's disease trials.Conclusion Attempts to identify benefiting subgroups of patients in clinical trials are often met with skepticism due to a lack of multiplicity control and unrealistically restrictive assumptions. Our proposed approach merges two techniques, credible subgroups, and semiparametric regression, which avoids these problems and makes benefiting subgroup identification practical and reliable.									11	1	0	0	5	0	13			1740-7745	1740-7753										Ohio State Univ, Div Biostat, Coll Publ Hlth, 226 Cunz Hall,1841 Neil Ave, Columbus, OH 43210 USAUniv Texas Austin, Dept Math, Austin, TX 78712 USAAbbVie, N Chicago, IL USASanofi, Bridgewater, NJ USAUniv Minnesota, Sch Publ Hlth, Div Biostat, Minneapolis, MN 55455 USA				2018-02-16	WOS:000424201000012	29035083	
J	Duffett, Rodney; Edu, Tudor; Haydam, Norbert; Negricea, Iliuta-Costel; Zaharia, Rodica				Edu, Tudor/G-1002-2012; Duffett, Rodney/L-8210-2016; Zaharia, Rodica/AAT-8093-2021	Negricea, Iliuta Costel/0000-0001-5174-9888; Rodica Milena, Zaharia/0000-0003-1636-4434; Duffett, Rodney/0000-0002-4568-6988; Edu, Tudor/0000-0001-9110-9287					A Multi-Dimensional Approach of Green Marketing Competitive Advantage: A Perspective of Small Medium and Micro Enterprises from Western Cape, South Africa								SUSTAINABILITY				10	10					3764			10.3390/su10103764							Article	OCT 2018	2018	The study focuses on green competitive advantage from a multi-dimensional perspective, investigating the impact of green marketing tools and company descriptive variables on these dimensions. The data were collected from small, medium and micro enterprises (SMME) from Western Cape/South Africa, an area marked by long-term water consumption restrictions. A qualitative approach was considered for variable tailoring to the SMMEs' peculiarities, followed by a quantitative study, employing a sample of 237 companies, for testing each competitive advantage dimension against the established green marketing tools and company descriptive variables using logistic regressions. Each competitiveness variable was explained by at least one green marketing tool. Donating money and/or allocating time for environmental purposes explained three dependent variables, while selling biodegradable/recycled/refurbished products had an inverse relationship with two of them. Business type and number of operational years had a significant impact on three dimensions. This study enriches the literature by using green competitive advantage dimensions and not a latent factor, analyzing the impact of company descriptive variables as explanatory variables and prompting green strategies for small and medium businesses. The model could be improved by tests in other geographic areas, including green distribution and price variables and other descriptive factors (turnover, responsible investment and internationalization).									24	0	0	1	0	0	25				2071-1050										Cape Peninsula Univ Technol, Fac Business & Management Sci, Dept Mkt, Keizersgracht & Tennant St, ZA-8000 Cape Town, South AfricaRomanian Amer Univ, Fac Management Mkt, Management Mkt Dept, 1B Expozitiei Blvd, Bucharest 012101, RomaniaBucharest Univ Econ Studies, Fac Int Business & Econ, Dept Int Business & Econ, 6 Piata Romana,1st Dist, Bucharest 010374, Romania	Romanian Amer Univ			2018-11-20	WOS:000448559400406		
J	Granot, F; SkorinKapov, J; Tamir, A										Using quadratic programming to solve high multiplicity scheduling problems on parallel machines								ALGORITHMICA				17	2			100	110				10.1007/BF02522821							Article	FEB 1997	1997	We introduce and analyze several models of scheduling n different types (groups) of jobs on m parallel machines, where in each group all jobs are identical. Our main goal is to exhibit the usefulness of quadratic programming approaches to solve these classes of high multiplicity scheduling problems, with the total weighted completion time as the minimization criterion. We develop polynomial algorithms for some models, and strongly polynomial algorithms for certain special cases. In particular, the model in which the weights are job independent, as well as the generally weighted model in which processing requirements are job independent, can be formulated as an integer convex separable quadratic cost Bow problem, and therefore solved in polynomial time. When we specialize further, strongly polynomial bounds are achievable. Specifically, for the weighted model with job-independent processing requirements if we restrict the weights to be machine independent (while still assuming different machine speeds), an O(mn + n log n) algorithm is developed. If it is also assumed that all the machines have the same speed, the complexity of the algorithm can be improved to O(m log m + n log n). These results can be extended to related unweighted models with variable processing requirements in which all the machines are available at time zero.									5	0	0	0	0	0	6			0178-4617											SUNY STONY BROOK,WA HARRIMAN SCH MANAGEMENT & POLICY,STONY BROOK,NY 11794TEL AVIV UNIV,SCH MATH SCI,IL-69978 TEL AVIV,ISRAEL				1997-02-01	WOS:A1997VX37600002		
J									Silvio Donizetti de Oliveira Gallo; Laisa Blancy de Oliveira Guarienti		Cartographies of educational variation and the multiplicities in the thought																												Awarded Grant	Aug 01 2014	2014	The project aims to map the variations in school thinking and encumbrances that makes this process possible, namely, investigate, through educational workshops, with an emphasis on the arts, learning problems highlighted mainly by teachers, psychologists, educational psychologists and psychiatrists dealing with such issues as open to inventive learning fields. Transforming the problem of learning acquisition, diagnosed as a psychopathological disorder, strategies for thinking about education. Considering the relevance with respect to current problems of school education, proposes to enhance these changes in ways of apprehending the principle undesirable by the school community, and overturn such thinking. Make an inverted set of the problem, where the problem considered illness and maladjustment becomes an interesting, desirable and potential problem for developing other forms of expression with students. Workshops invention will be performed, using artistic means connected to the body and the images, so that these problems are moving toward something that acquires meanings in the practice of apprentices life, proliferating different images of thought ( multiplicity) and not only the Orthodox images (accommodation, representation and recognition ) strongly institutionalized. Think these workshops as educational practices in connection with the arts, seeking to establish the possible creation of interesting problems to a collective of students and enhance thoughts regarded as unsuitable for the school institution as new ways of expressing a new think multiplier. (AU)									0	0	0	0	0	0	0						14/07477-0								Faculdade de Educação (FE). Universidade Estadual de Campinas (UNICAMP). Campinas , SP, BrazilFaculdade de Educação (FE). Universidade Estadual de Campinas (UNICAMP). Campinas , SP, Brazil	Faculdade de Educação (FE). Universidade Estadual de Campinas (UNICAMP). Campinas , SP, BrazilFaculdade de Educação (FE). Universidade Estadual de Campinas (UNICAMP). Campinas , SP, Brazil			2023-12-08	GRANTS:16395638		
J	Edwards, Steven J.; Baatar, Davaatseren; Smith-Miles, Kate; Ernst, Andreas T.				Ernst, Andreas/B-4298-2008; Edwards, Steven/AAS-2736-2020; Smith-Miles, Kate/Q-9004-2019						Symmetry breaking of identical projects in the high-multiplicity RCPSP/max								JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY													10.1080/01605682.2019.1595192					APR 2019		Article; Early Access		2019	This article considers the high-multiplicity resource-constrained project scheduling problem with generalised precedence constraints (RCPSP/max). Projects, which can be partitioned into relatively few classes, are to be scheduled subject to resource and generalised precedence constraints. We show that there exists symmetry between projects of the same class and propose two approaches of symmetry breaking: (1) adding additional constraints to the model in the form of precedence constraints, (2) remodelling the problem to reduce the number of variables. To test the usefulness of the symmetry breaking approaches a computational study is completed considering two families of discrete-time based MIP models and a number of state-of-the-art CP-based scheduling approaches. The study shows that both symmetry breaking approaches allow all solving methods to find and prove more optimal solutions. The best CP approach is then used to find a number of new best solutions to relevant problems from the MPSPlib, a multi-project scheduling problem library, for both the total makespan and average project delay objective, whereas the best MIP approach is used to determine a number of tighter lower bounds.									3	0	0	0	0	0	3			0160-5682	1476-9360										Monash Univ, Sch Math Sci, Clayton, Vic 3800, AustraliaUniv Melbourne, Sch Math & Stat, Melbourne, Vic, Australia				2019-06-20	WOS:000470531800001		
J	Li, Weijie; Kang, Jinwen; Wang, Yong										Land Use Conflicts Identification and Multi-Scenario Simulation in Mountain Cities, Southwest China: A Coupled Structural and Functional Perspective								LAND DEGRADATION & DEVELOPMENT				36	5			1492	1512				10.1002/ldr.5440					DEC 2024		Article	MAR 2025	2025	Land use conflicts (LUCs) arise during land use change, causing an uncoordinated spatial structure of the land and negatively affecting the synergistic development of multifunctionality, especially in mountain cities. Previous studies have focused on identifying and measuring land use structural conflicts (LUSC), with less attention paid to land use functional conflicts (LUFC), and a lack of simulation for future multi-scenarios. Thus, taking Chongqing as an example, based on the perspective of LUSC-LUFC coupling, this study constructed a comprehensive conflict index to identify and assess LUCs, then applied the PLUS model to predict LUCs under three development scenarios in 2030. This study found that (1) there was a significant positive spatial association between LUSC and LUFC, with high-high agglomeration types in areas of severe LUCs and low-low agglomeration types in areas of light LUCs. (2) During 2000-2020, the LUCs in Chongqing displayed a trend of upward and then downward from 2000 to 2020, with significant agglomeration in their spatial pattern. (3) Two typical areas of LUCs intensification were identified, namely the topographic transition zone located in the Daba and Wuling mountains and the urban-rural interface in the Chongqing metropolitan area. (4) In 2030, the LUCs in Chongqing manifest an overall mitigation in the ecological protection (EP) scenario, while displaying an intensification in the natural development (ND) and economic development (ED) scenarios. Based on the types of spatial interaction between LUSC and LUFC, land use optimization strategies were formulated. The findings will provide scientific references for sustainable land use management decisions in Chongqing and other mountainous cities.									0	0	0	0	0	0	0			1085-3278	1099-145X										China West Normal Univ, Sch Geog Sci, Nanchong, Peoples R ChinaChina West Normal Univ, Sichuan Prov Engn Lab Monitoring & Control Soil Er, Nanchong, Peoples R ChinaSouthwest Univ, Sch Geog Sci, Chongqing Key Lab Karst Environm, Chongqing, Peoples R China				2024-12-27	WOS:001378865100001		
B	Moussa, Jawad Ribhi										Methods for Efficient Computation of Neutron Multiplicity Distributions and SNM Sample Characterization																												Dissertation/Thesis	Jan 01 2024	2024										0	0	0	0	0	0	0					9798310151451									The University of New Mexico, Engineering, New Mexico, United States	The University of New Mexico				PQDT:122756669		
J	Kafarov, VV; Pisarenko, VN; Dallos, CG; Keil, F; Mayorga, B; Nunez, M				; Keil, Frerich/K-4351-2019; Pisarenko, Vitaly/E-6907-2014	Kafarov, Viatcheslav/0000-0002-2698-4621; 					New method for computer aided analysis of steady-state multiplicity of catalytic processes								COMPUTERS & CHEMICAL ENGINEERING				22				S659	S662				10.1016/S0098-1354(98)00118-5						S	Article; Proceedings Paper	1998	1998	As the result of-disruptions in the technological regimes or changes in the composition of the feed stock an uncontrollable increase of the temperature in catalyst pellets, which can lead to their sintering or destruction, is often observed. One of the primary reasons for gross overheating of catalyst pellet can be a transition from one steady state to another. The fundamental catalytic processes in the petrochemical-and chemical industries are characterized by a multistage set of the specific chemical transformations with a significant chemical transformations with a significant number of the reactants participating therein. One result is complications of the mathematical model of catalyst pellet, into with a large number of equations, beginning with heat and material balances, enter. This has led in many practical situations to extremely complicated procedures for analysis of steady-state multiplicity and to the impossibility of scientifically based selections of the mathematical model for a catalytic process, reflecting the results of industrial experimentation over a wide range of variation of the technological parameters. These difficulties can be successful overcome if the dimensionality of the model equations is sharply curtailed by the use of invariants of the physicochemical systems which are derived a priori. (C) 1998:Published by Elsevier Science Ltd. All rights reserved.					European Symposium on Computer Aided Process Engineering (ESCAPE 8)European Symposium on Computer Aided Process Engineering (ESCAPE 8)	MAY 24-27, 1998MAY 24-27, 1998	Technol Inst Royal Flemish Soc EngineersTechnol Inst Royal Flemish Soc Engineers	BRUGGE, BELGIUMBRUGGE, BELGIUM	1	0	0	0	0	0	1			0098-1354											Univ Ind Santander, Bucaramanga, ColombiaRussian Univ Chem Technol DI Mendeleyev, Moscow, ID USATech Univ Hamburg Harburg, D-2100 Hamburg, Germany				1998-01-01	WOS:000073455100089		
J	Choudhary, Neha; Choudhary, Shilpa; Kumar, Arun; Singh, Vikram				Choudhary, Neha/JVN-8467-2024; KUMAR, ARUN/JAC-6151-2023; Singh, Vikram/KCY-9412-2024	Singh, Dr. Vikram/0000-0002-7644-4084; Kumar, Arun/0000-0002-1540-3465					Deciphering the multi-scale mechanisms of Tephrosia purpurea against polycystic ovarian syndrome (PCOS) and its major psychiatric comorbidities: Studies from network pharmacological perspective								GENE				773						145385			10.1016/j.gene.2020.145385					JAN 2021		Article	MAR 20 2021	2021	Tephrosia purpurea (T. purpurea), a plant belonging to Fabaceae (pea) family, is a well-known Ayurvedic herb and commonly known as Sarapunkha in traditional Indian medicinal system. Described as "Sarwa wranvishapaka", i.e. having a capability to heal all types of wounds, it is particularly recognized for its usage in splenomegaly. Towards exploring the comprehensive effects of T. purpurea against polycystic ovarian syndrome (PCOS) and three comorbid neuropsychiatric diseases (anxiety, depression, and bipolar disorder), its constituent phytochemicals (PCs) were extensively reviewed and their network pharmacology evaluation was carried out in this study. The complex regulatory potential of its 76 PCs against PCOS is enquired by developing and analyzing high confidence tripartite networks of protein targets of each phytochemical at both pathway and disease association scales. We also developed a high-confidence human Protein-Protein Interaction (PPI) sub-network specific to PCOS, explored its modular architecture, and probed 30 drug-like phytochemicals (DPCs) having multi-module regulatory potential. The phytochemicals showing good binding affinity towards their protein targets were also evaluated for similarity against currently available approved drugs present in DrugBank. Multi-targeting and synergistic capacities of 12 DPCs against 10 protein targets were identified and evaluated using molecular docking and interaction analyses. Eight DPCs as a potential source of PCOS and its comorbidity regulators are reported in T. purpurea. The results of network-pharmacology study highlight the therapeutic relevance of T. purpurea as PCOS-regulator and demonstrate the effectiveness of the approach in revealing action-mechanism of Ayurvedic herbs from holistic perspective.									16	0	0	0	7	0	16			0378-1119	1879-0038										Cent Univ Himachal Pradesh, Sch Life Sci, Ctr Computat Biol & Bioinformat, Dharamshala 176206, IndiaGovt India, Minist AYUSH, Dr DP Rastogi Cent Res Inst Homeopathy, Mol Biol Lab,Drug Standardizat Unit, Noida 201301, Uttar Pradesh, India	Govt India			2021-03-10	WOS:000618325700009	33383117	
